image_size; image_size_pixels; execution_time
6780x4320; 29289600; 0.135678
500x375; 187500; 0.000811
4000x3000; 12000000; 0.049376
2000x1500; 3000000; 0.011658
125x94; 11750; 0.000051
1000x750; 750000; 0.003306
