image_size; image_size_pixels; execution_time
6780x4320; 29289600; 0.012192
500x375; 187500; 0.000176
4000x3000; 12000000; 0.004694
2000x1500; 3000000; 0.001556
125x94; 11750; 0.000076
1000x750; 750000; 0.000450
