image_size; image_size_pixels; execution_time
6780x4320; 29289600; 0.011528
500x375; 187500; 0.000162
4000x3000; 12000000; 0.004188
2000x1500; 3000000; 0.001355
125x94; 11750; 0.000069
1000x750; 750000; 0.000439
